,,,,DEC,JUN,MAR,SEP
Nintendo Switch (NS),Nintendo,Other,2017,360.0,240.0,0.0,300.00000000000006
Nintendo Switch (NS),Nintendo,Other,2018,379.9999999999999,410.0,430.00000000000006,300.00000000000006
Nintendo Switch (NS),Nintendo,Other,2019,750.0,299.99999999999983,1240.0000000000002,379.9999999999999
Nintendo Switch (NS),Nintendo,Other,2020,900.0000000000003,839.9999999999999,1400.0000000000005,1109.9999999999995
PlayStation 3 (PS3),Sony,Europe,2013,669.9999999999982,2010.0000000000016,1329.9999999999982,699.9999999999993
PlayStation 3 (PS3),Sony,Europe,2014,120.00000000000456,0.0,719.9999999999989,0.0
PlayStation 3 (PS3),Sony,Europe,2015,120.00000000000456,179.99999999999972,729.9999999999968,70.00000000000028
PlayStation 3 (PS3),Sony,Europe,2016,40.00000000000625,49.99999999999716,109.99999999999945,49.99999999999716
PlayStation 3 (PS3),Sony,Europe,2017,9.99999999999801,20.000000000003126,59.99999999999517,9.99999999999801
PlayStation 3 (PS3),Sony,Europe,2018,0.0,0.0,0.0,0.0
PlayStation 3 (PS3),Sony,Europe,2019,0.0,440.0000000000048,0.0,0.0
PlayStation 3 (PS3),Sony,Europe,2020,0.0,0.0,0.0,0.0
PlayStation 3 (PS3),Sony,Japan,2013,109.99999999999945,179.99999999999972,380.0000000000008,179.99999999999972
PlayStation 3 (PS3),Sony,Japan,2014,70.00000000000028,140.00000000000057,259.9999999999998,80.00000000000007
PlayStation 3 (PS3),Sony,Japan,2015,40.00000000000093,60.0000000000005,99.99999999999964,29.99999999999936
PlayStation 3 (PS3),Sony,Japan,2016,9.999999999999789,19.999999999999574,19.999999999999574,9.999999999999789
PlayStation 3 (PS3),Sony,Japan,2017,0.0,10.000000000001563,9.999999999999789,9.999999999999789
PlayStation 3 (PS3),Sony,Japan,2018,0.0,0.0,0.0,0.0
PlayStation 3 (PS3),Sony,Japan,2019,0.0,0.0,0.0,0.0
PlayStation 3 (PS3),Sony,Japan,2020,0.0,0.0,0.0,0.0
PlayStation 3 (PS3),Sony,North America,2013,390.00000000000057,489.9999999999984,960.0000000000008,379.999999999999
PlayStation 3 (PS3),Sony,North America,2014,169.99999999999815,160.00000000000014,870.000000000001,120.000000000001
PlayStation 3 (PS3),Sony,North America,2015,30.000000000001137,100.00000000000142,289.99999999999915,19.999999999999574
PlayStation 3 (PS3),Sony,North America,2016,30.000000000001137,29.999999999997584,70.00000000000028,30.000000000001137
PlayStation 3 (PS3),Sony,North America,2017,0.0,10.000000000001563,39.99999999999915,0.0
PlayStation 3 (PS3),Sony,North America,2018,0.0,0.0,0.0,0.0
PlayStation 3 (PS3),Sony,North America,2019,0.0,0.0,0.0,0.0
PlayStation 3 (PS3),Sony,North America,2020,0.0,0.0,0.0,0.0
PlayStation 3 (PS3),Sony,Other,2013,279.9999999999994,1300.000000000001,490.0000000000002,390.00000000000057
PlayStation 3 (PS3),Sony,Other,2014,160.00000000000014,0.0,119.99999999999922,360.0000000000012
PlayStation 3 (PS3),Sony,Other,2015,59.99999999999872,99.99999999999964,209.9999999999991,40.00000000000093
PlayStation 3 (PS3),Sony,Other,2016,19.999999999999574,29.99999999999936,50.00000000000071,20.00000000000135
PlayStation 3 (PS3),Sony,Other,2017,0.0,9.999999999999789,29.99999999999936,10.000000000001563
PlayStation 3 (PS3),Sony,Other,2018,0.0,0.0,0.0,0.0
PlayStation 3 (PS3),Sony,Other,2019,0.0,69.99999999999851,0.0,0.0
PlayStation 3 (PS3),Sony,Other,2020,0.0,0.0,0.0,0.0
PlayStation 4 (PS4),Sony,Europe,2013,0.0,0.0,0.0,0.0
PlayStation 4 (PS4),Sony,Europe,2014,2430.0000000000005,649.9999999999999,2180.0,929.9999999999998
PlayStation 4 (PS4),Sony,Europe,2015,1360.0000000000011,1199.999999999999,1479.9999999999995,820.0000000000002
PlayStation 4 (PS4),Sony,Europe,2016,1019.9999999999995,1800.000000000001,3429.9999999999995,1129.999999999999
PlayStation 4 (PS4),Sony,Europe,2017,1760.0000000000016,1089.9999999999998,3330.000000000002,1989.9999999999984
PlayStation 4 (PS4),Sony,Europe,2018,1810.0000000000025,1649.9999999999986,3489.999999999998,970.0000000000024
PlayStation 4 (PS4),Sony,Europe,2019,1880.0000000000025,1739.999999999995,2539.999999999999,1490.000000000002
PlayStation 4 (PS4),Sony,Europe,2020,560.0000000000023,1810.0000000000025,1859.9999999999995,1139.9999999999934
PlayStation 4 (PS4),Sony,Japan,2013,0.0,0.0,0.0,0.0
PlayStation 4 (PS4),Sony,Japan,2014,130.0,259.99999999999994,320.0,90.00000000000009
